OBJECTID,GEO,GEOID,NAME,DATE,POSITIVE,POS_NEW,POS_7DAYAVG,NEGATIVE,NEG_NEW,NEG_7DAYAVG,DEATHS,DTH_NEW,DTH_7DAYAVG,TEST_NEW,TEST_7DAYAVG,HOSP_YES,HOSP_NO,HOSP_UNK,POP,POP_MOE,PCT_POP_65,PCT_SMK,PCT_COPD,PCT_CVD,PCT_DIAB,POP_65_WI,SMK_WI,COPD_WI,CVD_WI,DIAB_WI,ShapeSTArea,ShapeSTLength
4459,County,55081,Monroe,2021/05/01 19:00:00+00,4498,5,4.86,19731,29,20.71,37,0,0,34,25.57,166,2824,1508,45502,,17.5007609,22.39489241,6.19989065,11.84072478,10.4181093,16.96037624,17.6,5.3,7.7,8.9,4538125145.30078,281587.995266496
4461,County,55031,Douglas,2021/05/01 19:00:00+00,3989,10,5.57,19958,26,20,34,0,0.14,36,25.57,150,2951,888,43402,,18.27278115,23.68174354,10.70285283,10.9384054,9.69648157,16.96037624,17.6,5.3,7.7,8.9,7316905731.48047,374792.754627018
4464,County,55005,Barron,2021/05/01 19:00:00+00,5727,14,6.86,20069,18,19,82,1,0.71,32,25.86,266,3224,2237,45252,,22.95117698,22.41198037,5.27764599,9.44121086,10.2081161,16.96037624,17.6,5.3,7.7,8.9,4677777581.72266,273518.663059626
4466,County,55095,Polk,2021/05/01 19:00:00+00,4379,3,10.71,20441,37,32.14,46,0,0.43,40,42.86,159,2514,1706,43349,,19.59908884,15.11612319,4.28335734,5.99569645,11.27644808,16.96037624,17.6,5.3,7.7,8.9,5034134782.13672,339213.269564856
4473,County,55135,Waupaca,2021/05/01 19:00:00+00,4872,0,1.71,21575,60,27.14,118,0,0.14,60,28.86,266,2462,2144,51444,,23.89862945,20.71741115,6.08122362,11.27545802,9.26157142,16.96037624,17.6,5.3,7.7,8.9,3892220630.02734,273669.552662916
4477,County,55015,Calumet,2021/05/01 19:00:00+00,5746,2,3.29,22387,31,27.14,48,1,0.29,33,30.43,266,3382,2098,49807,,14.22604709,10.34834806,2.26506411,8.35475356,7.62046076,16.96037624,17.6,5.3,7.7,8.9,1993435150.45703,189266.428044386
4487,County,55043,Grant,2021/05/01 19:00:00+00,4886,2,2.71,24243,16,22.29,85,0,0,18,25,268,2329,2289,51828,,18.72493986,17.92943868,4.12869234,8.98792174,8.53185505,16.96037624,17.6,5.3,7.7,8.9,5694522989.98828,337205.794874345
4500,County,55097,Portage,2021/05/01 19:00:00+00,6701,7,5.29,27835,42,35.57,68,0,0,49,40.86,305,3486,2910,70599,,16.62778037,13.97837834,2.84981525,4.11174882,4.75114542,16.96037624,17.6,5.3,7.7,8.9,4186236048.15234,274542.268386366
4501,County,55021,Columbia,2021/05/01 19:00:00+00,5362,2,5.43,28209,36,34.43,57,0,0,38,39.86,298,3165,1899,56954,,17.92991178,21.03220995,4.72894373,8.39631758,8.12806802,16.96037624,17.6,5.3,7.7,8.9,3915273409.10547,306650.90492624
4510,County,55017,Chippewa,2021/05/01 19:00:00+00,7325,13,5.29,30277,33,31.14,94,0,0,46,36.43,254,4055,3016,63635,,17.52880723,16.66934272,6.48014542,5.8760884,8.03387845,16.96037624,17.6,5.3,7.7,8.9,5406849245.54297,303010.478701697
